Route Name,Grade,Ascents
★★★ La școala de ghizi,FR:6a+,12
★★ Examenul de capacitate,FR:6a+,12
★★ Recreația mare,FR:6a,12
★★ Hell Bells,6+,12
★★★ X-Ray,{FR} 6b,11
★★ Examen,6+,11
★★ Kiki,6+,11
★ Ikebana,5+,11
★ Endorfina,{FR} 5a,11
★★ Clasa zero barat,FR:5c+/6a,11
★★★ Repetentul,FR:6a+,11
★ Ra,6+,11
★★ Hans Gora,7,11
★★ Cascada de la coada lacului dreapta,WI3,11
★ Amaraj,5-,11
★★ Muchia Iepurașului,6+ A0 5A,11
★★★ Olive,6,11
★★ Magic,5+,11
★★★ Rachiu cu vai,{FR} 7a+,11
★★ Show gratuit,8-,11
★★ Cronos,{FR} 4b,11
★★ Ginta,5+,11
★★ Hunchback,{FR} 5a UIAA:5,11
★ unknown 5,6-,11
★★ Muierii's cave,{FR} 5c,11
★★★ Titan,{FR} 5b,11
★★ Pantera Roz,{FR} 6a,11
★★★ Hermann Buhl,7-,11
★★ Kids Land,{FR} 4a,11
★★ Trăiască Berea,{FR} 6a,11
★★ Purade,8-/8,11
★★★ Veverița/Squirrel,{FR} 5c,11
★★ Stairway to Hell,5+,11
★★ Gravidity,6+,11
★★ Frumușica,5+/6-,11
★★★ LH,{FR} 6b,11
★★★ Gușterul,6+,11
★★ Ecou,7+/8-,11
Dirty Fiesta,M7,10
★★ Parașuta,{FR} 6a+,10
"★★ 7,2",{FR} 7b+,10
★★★ Habitude,{FR} 6a+,10
★★ Try Again,FR:6c,10
★★★ RICO,7-,10
★★★ Traseul Alveolelor,{FR} 6c+,10
★ Bulion,5,10
★ N-ai nai,6,10
★★ Flișca,6-,10
★★ Creasta Generalului,6+ A0 3B,10
Zambaccian,7+,10
★★★ Smoke Water,{FR} 6c+,9
★★ Perfect day,6-,10
★★ B1,4,10
★ Capra mică,{FR} 4c,10
★★ Xennials,{FR} 6a+ UIAA:7-,10
★★ Bobâlna Sfinx,{FR} 5c+,10
★★★ Târgșor,7-,10
★★★ Memorial Adrian Chifa,7+,10
★ Varlaam,6+,10
★★★ Zâna nebună,5-,10
★★ P.C.,6,10
★★★ Mielul cel Blând,7-,10
★★ Avocado,6+,10
★ Yap,6-,10
★★ Finala,6-,10
★★★ Driver,{FR} 6a,10
★★ Sconx,8-,10
★★ Șagunistul,FR:6a,10
★★★ Glue Face,{FR} 6a,9
★★ Total,7+,10
★★ Mumf,5,10
★★ Paradoxul blocajului,{FR} 5c,10
Negru de fum,7-/7,10
★★ Mokus moha,4,10
Somebody,8-/8,10
Chipped ★★ Căruța cu Fraieri,{FR} 6c+,10
Chipped ★★ Poseidon,{FR} 7a,10
★★ Lacrimi și Sfinți,{FR} 6c,10
★★ Fițuica,FR:5b+/c,10
★★ Saam,6+,10
★★ Red Shift,7-,10
★★ Thunderstruck,5+,10
★★★ 2 minutes,{FR} 5b,10
★★★ Helvegen,M9,9
★★ Bini Lee,FR:7a,9
★★★ Pino,{FR} 6c,9
Țandăra,4+,9
★ Doamna Nașa,6-,9
★★ Polka,6+,9
★ Recreația,6,9
★★★ Olive,{FR} 5b,9
★★ Creasta Hornului Roșu,7-,9
★★ Traseul Gențianei,{FR} 6a,9
★★ Bronșită,{FR} 6b,9
★ Tema pentru acasă,7-/7,9
★★ Ursus Spelaeus,5+,9
★★ Slepcsi,4+,9
Nido,7/7+,9
★★ Romparkin,{FR} 6a+,9
★★★ Cascada din dreapta,,9
